stockid,ticker,genre,name
37,ACOR,Documentary,"Acorda Therapeutics, Inc. - Common Stock"
38,ACRS,Comedy,"Aclaris Therapeutics, Inc. - Common Stock"
39,ACRX,Comedy|Romance,"AcelRx Pharmaceuticals, Inc. - Common Stock"
40,ACST,Drama,"Acasti Pharma, Inc. - Class A Common Stock"
41,ACT,Drama|War,AdvisorShares Vice ETF
42,ACTG,Action|Crime|Drama,Acacia Research Corporation - Common Stock
43,ACWI,Drama,iShares MSCI ACWI Index Fund
44,ACWX,Action|Adventure,iShares MSCI ACWI ex US Index Fund
45,ACXM,Comedy|Drama,Acxiom Corporation - Common Stock
46,ADAP,Drama|Romance,Adaptimmune Therapeutics plc - American Depositary Shares
47,ADBE,Crime|Thriller,Adobe Systems Incorporated - Common Stock
48,ADES,Animation|Children's|Musical|Romance,"Advanced Emissions Solutions, Inc. - Common Stock"
49,ADI,Drama|Romance,"Analog Devices, Inc. - Common Stock"
50,ADIL,Crime|Thriller,"Adial Pharmaceuticals, Inc - Common Stock"
51,ADILW,Action|Drama|Thriller,"Adial Pharmaceuticals, Inc - Warrant"
52,ADMA,Comedy,ADMA Biologics Inc - Common Stock
53,ADMP,Drama,Adamis Pharmaceuticals Corporation - Common Stock
54,ADMS,Children's|Comedy,"Adamas Pharmaceuticals, Inc. - Common Stock"
55,ADOM,Drama,"ADOMANI, Inc. - Common Stock"
56,ADP,Adventure|Children's|Fantasy,"Automatic Data Processing, Inc. - Common Stock"
57,ADRA,Drama,Invesco BLDRS Asia 50 ADR Index Fund
58,ADRD,Drama|Romance,Invesco BLDRS Developed Markets 100 ADR Index Fund
59,ADRE,Drama|Mystery,Invesco BLDRS Emerging Markets 50 ADR Index Fund
60,ADRO,Adventure|Children's|Fantasy,"Aduro Biotech, Inc. - Common Stock"
61,ADRU,Drama|Thriller,Invesco BLDRS Europe Select ADR Index Fund
62,ADSK,Drama,"Autodesk, Inc. - Common Stock"
63,ADTN,Comedy,"ADTRAN, Inc. - Common Stock"
64,ADUS,Comedy|Romance,Addus HomeCare Corporation - Common Stock
65,ADVM,Comedy,"Adverum Biotechnologies, Inc. - Common Stock"
66,ADXS,Sci-Fi|Thriller,"Advaxis, Inc. - Common Stock"
67,ADXSW,Drama,"Advaxis, Inc. - Warrants"
68,AEGN,Comedy|Romance,Aegion Corp - Class A Common Stock
69,AEHR,Comedy,Aehr Test Systems - Common Stock
70,AEIS,Action|Comedy|Crime|Horror|Thriller,"Advanced Energy Industries, Inc. - Common Stock"
71,AEMD,Action,"Aethlon Medical, Inc. - Common Stock"
72,AERI,Comedy|Drama,"Aerie Pharmaceuticals, Inc. - Common Stock"
73,AETI,Drama|Musical,"American Electric Technologies, Inc. - Common Stock"
74,AEY,Drama|Romance,"ADDvantage Technologies Group, Inc. - Common Stock"
75,AEYE,Comedy|Drama,"AudioEye, Inc. - Common Stock"
76,AEZS,Sci-Fi|Thriller,Aeterna Zentaris Inc. - Common Stock
77,AFH,Documentary,"Atlas Financial Holdings, Inc. - Ordinary Shares"
78,AFHBL,Drama,"Atlas Financial Holdings, Inc. - 6.625% Senior Unsecured Notes Due 2022"
79,AFIN,Drama|Thriller,"American Finance Trust, Inc. - Class A Common Stock"
80,AFMD,Drama,Affimed N.V. - Common Stock
81,AFSI,Crime|Drama|Romance,"AmTrust Financial Services, Inc. - Common Stock"
82,AGEN,Drama,Agenus Inc. - Common Stock
83,AGFS,Drama,"AgroFresh Solutions, Inc. - Common Stock"
84,AGFSW,Comedy|Drama,"AgroFresh Solutions, Inc. - Warrants"
85,AGIO,Drama|Romance,"Agios Pharmaceuticals, Inc. - Common Stock"
86,AGLE,Adventure|Drama,"Aeglea BioTherapeutics, Inc. - Common Stock"
87,AGMH,Children's|Comedy,AGM Group Holdings Inc. - Class A Ordinary Shares
88,AGNC,Comedy,AGNC Investment Corp. - Common Stock
89,AGNCB,Action|Thriller,AGNC Investment Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock
90,AGNCN,Drama,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
92,AGND,Drama|Thriller,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund
93,AGRX,Comedy|Romance,"Agile Therapeutics, Inc. - Common Stock"
94,AGTC,Drama,Applied Genetic Technologies Corporation - Common Stock
95,AGYS,Action|Thriller,"Agilysys, Inc. - Common Stock"
96,AGZD,Comedy,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
97,AHPA,Drama,Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares
98,AHPAU,Action|Thriller,Avista Healthcare Public Acquisition Corp. - Unit
99,AHPAW,Documentary,Avista Healthcare Public Acquisition Corp. - Warrants
100,AHPI,Drama|Thriller,"Allied Healthcare Products, Inc. - Common Stock"
101,AIA,Comedy,iShares Asia 50 ETF
102,AIHS,Comedy,Senmiao Technology Limited - Common Stock
103,AIMC,Thriller,Altra Industrial Motion Corp. - Common Stock
104,AIMT,Comedy,"Aimmune Therapeutics, Inc. - Common Stock"
105,AINV,Drama|Romance,Apollo Investment Corporation - Closed End Fund
106,AIPT,Comedy|Drama,Precision Therapeutics Inc. - Common Stock
107,AIQ,Adventure|Children's|Comedy|Musical,Global X Future Analytics Tech ETF
108,AIRG,Documentary,"Airgain, Inc. - Common Stock"
109,AIRR,Comedy,First Trust RBA American Industrial Renaissance ETF
110,AIRT,Action|Drama|War,"Air T, Inc. - Common Stock"
111,AKAM,Drama|Thriller,"Akamai Technologies, Inc. - Common Stock"
112,AKAO,Action|Adventure|Crime,"Achaogen, Inc. - Common Stock"
113,AKBA,Drama|Mystery,"Akebia Therapeutics, Inc. - Common Stock"
114,AKCA,Drama,"Akcea Therapeutics, Inc. - Common Stock"
115,AKER,Comedy,Akers Biosciences Inc - Common Stock
116,AKRX,Documentary,"Akorn, Inc. - Common Stock"
117,AKTS,Crime,"Akoustis Technologies, Inc. - Common Stock"
118,AKTX,Comedy|Romance,Akari Therapeutics Plc - American Depositary Shares
119,ALBO,Comedy,"Albireo Pharma, Inc. - Common Stock"
120,ALCO,Drama,"Alico, Inc. - Common Stock"
121,ALDR,Drama,"Alder BioPharmaceuticals, Inc. - Common Stock"
122,ALDX,Comedy|Romance,"Aldeyra Therapeutics, Inc. - Common Stock"
123,ALGN,Drama|Mystery|Romance,"Align Technology, Inc. - Common Stock"
124,ALGR,Drama,Allegro Merger Corp. - Common Stock
125,ALGRR,Comedy,Allegro Merger Corp. - Right
126,ALGRU,Adventure|Children's|Fantasy,Allegro Merger Corp. - Unit
127,ALGRW,Drama,Allegro Merger Corp. - Warrant
128,ALGT,Documentary,Allegiant Travel Company - Common Stock
129,ALIM,Comedy|Romance,"Alimera Sciences, Inc. - Common Stock"
130,ALJJ,Drama,"ALJ Regional Holdings, Inc. - Common Stock"
131,ALKS,Drama|Romance,Alkermes plc - Ordinary Shares
132,ALLK,Thriller,Allakos Inc. - Common Stock
133,ALLT,Comedy|Drama,Allot Communications Ltd. - Ordinary Shares
134,ALNA,Documentary,"Allena Pharmaceuticals, Inc. - Common Stock"
135,ALNY,Comedy,"Alnylam Pharmaceuticals, Inc. - Common Stock"
136,ALOT,Documentary,"AstroNova, Inc. - Common Stock"
137,ALPN,Documentary,"Alpine Immune Sciences, Inc. - Common Stock"
138,ALQA,Drama,"Alliqua BioMedical, Inc. - Common Stock"
139,ALRM,Action|Drama,"Alarm.com Holdings, Inc. - Common Stock"
140,ALRN,Drama|Romance,"Aileron Therapeutics, Inc. - Common Stock"
141,ALSK,Comedy,"Alaska Communications Systems Group, Inc. - Common Stock"
142,ALT,Drama,"Altimmune, Inc. - Common Stock"
143,ALTR,Drama,Altair Engineering Inc. - Class A Common Stock
144,ALTY,Comedy,Global X SuperDividend Alternatives ETF
145,ALXN,Action,"Alexion Pharmaceuticals, Inc. - Common Stock"
146,AMAG,Adventure|Children's,"AMAG Pharmaceuticals, Inc. - Common Stock"
147,AMAL,Drama,Amalgamated Bank - Class A Common Stock
148,AMAT,Drama,"Applied Materials, Inc. - Common Stock"
149,AMBA,Crime|Drama|Thriller,"Ambarella, Inc. - Ordinary Shares"
150,AMBC,Drama,"Ambac Financial Group, Inc. - Common Stock"
151,AMBCW,Drama|Romance|War,"Ambac Financial Group, Inc. - Warrants"
152,AMCA,Horror,iShares Russell 1000 Pure U.S. Revenue ETF
153,AMCN,Action|Adventure|Comedy|Crime,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares"
154,AMCX,Drama,AMC Networks Inc. - Class A Common Stock
155,AMD,Drama|War,"Advanced Micro Devices, Inc. - Common Stock"
156,AMDA,Comedy,Amedica Corporation - Common Stock
157,AMED,Comedy|War,Amedisys Inc - Common Stock
158,AMEH,Adventure|Children's,"Apollo Medical Holdings, Inc. - Common Stock"
159,AMGN,Drama,Amgen Inc. - Common Stock
160,AMKR,Action|Adventure|Mystery|Sci-Fi,"Amkor Technology, Inc. - Common Stock"
161,AMMA,Drama|Thriller|War,"Alliance MMA, Inc. - Common Stock"
162,AMNB,Documentary,"American National Bankshares, Inc. - Common Stock"
163,AMOT,Action|Romance|Thriller,"Allied Motion Technologies, Inc. - Common Stock"
164,AMPH,Crime|Film-Noir|Mystery|Thriller,"Amphastar Pharmaceuticals, Inc. - Common Stock"
165,AMR,Action|Thriller,"Alta Mesa Resources, Inc. - Class A Common Stock"
166,AMRB,Comedy|Drama,American River Bankshares - Common Stock
167,AMRH,Drama,"Ameri Holdings, Inc. - Common Stock"
168,AMRHW,Action|Adventure|Drama|Romance,"Ameri Holdings, Inc. - Warrant"
169,AMRK,Adventure|Children's|Drama,"A-Mark Precious Metals, Inc. - Common Stock"
170,AMRN,Action|Crime|Thriller,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
171,AMRS,Comedy,"Amyris, Inc. - Common Stock"
172,AMRWW,Action|Sci-Fi|Thriller,"Alta Mesa Resources, Inc. - Warrant"
173,AMSC,Action|Adventure|Sci-Fi,American Superconductor Corporation - Common Stock
174,AMSF,Comedy,"AMERISAFE, Inc. - Common Stock"
175,AMSWA,Drama,"American Software, Inc. - Class A Common Stock"
176,AMTD,Comedy,TD Ameritrade Holding Corporation - Common Stock
177,AMTX,Horror,"Aemetis, Inc - Common Stock"
178,AMWD,Comedy,American Woodmark Corporation - Common Stock
179,AMZN,Drama|Romance,"Amazon.com, Inc. - Common Stock"
180,ANAB,Comedy,"AnaptysBio, Inc. - Common Stock"
181,ANAT,Action|Children's,American National Insurance Company - Common Stock
182,ANCB,Drama|Romance,Anchor Bancorp - Common Stock
183,ANCX,Thriller,Access National Corporation - Common Stock
184,ANDE,Drama,"The Andersons, Inc. - Common Stock"
185,ANGI,Sci-Fi|Thriller,ANGI Homeservices Inc. - Class A Common Stock
186,ANGO,Comedy,"AngioDynamics, Inc. - Common Stock"
187,ANIK,Comedy,Anika Therapeutics Inc. - Common Stock
188,ANIP,Horror,"ANI Pharmaceuticals, Inc. - Common Stock"
189,ANSS,Comedy,"ANSYS, Inc. - Common Stock"
190,ANY,Thriller,Sphere 3D Corp. - Common Shares
191,AOBC,Drama,American Outdoor Brands Corporation - Common Stock
192,AOSL,Documentary,Alpha and Omega Semiconductor Limited - Common Shares
193,APDN,Drama,Applied DNA Sciences Inc - Common Stock
194,APDNW,Drama,Applied DNA Sciences Inc - Warrant
195,APEI,Comedy|Drama|Romance,"American Public Education, Inc. - Common Stock"
196,APEN,Horror|Sci-Fi,"Apollo Endosurgery, Inc. - Common Stock"
197,APLS,Drama,"Apellis Pharmaceuticals, Inc. - Common Stock"
198,APOG,Action|Crime|Sci-Fi,"Apogee Enterprises, Inc. - Common Stock"
199,APOP,Drama|Musical,Cellect Biotechnology Ltd. - American Depositary Shares
200,APOPW,Thriller,Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 1 ADS)
201,APPF,Drama,"AppFolio, Inc. - Class A Common Stock"
202,APPN,Drama|Romance,Appian Corporation - Class A Common Stock
203,APPS,Comedy,"Digital Turbine, Inc. - Common Stock"
204,APRI,Action,"Apricus Biosciences, Inc. - Common Stock"
205,APTI,Comedy|Drama,"Apptio, Inc. - Class A Common Stock"
206,APTO,Documentary,"Aptose Biosciences, Inc. - Common Shares"
207,APTX,Drama|Romance,Aptinyx Inc. - Common Stock
208,APVO,Action|Adventure,Aptevo Therapeutics Inc. - Common Stock
209,APWC,Drama,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share"
210,AQB,Western,"AquaBounty Technologies, Inc. - Common Stock"
211,AQMS,Drama,"Aqua Metals, Inc. - Common Stock"
212,AQST,Comedy,"Aquestive Therapeutics, Inc. - Common Stock"
213,AQXP,Drama,"Aquinox Pharmaceuticals, Inc. - Common Stock"
214,ARAY,Drama,Accuray Incorporated - Common Stock
215,ARCB,Drama|Romance,ArcBest Corporation - Common Stock
216,ARCC,Comedy,Ares Capital Corporation - Closed End Fund
217,ARCI,Drama|Thriller,"Appliance Recycling Centers of America, Inc. - Common Stock"
218,ARCT,Comedy|Drama,Arcturus Therapeutics Ltd. - Ordinary Shares
219,ARCW,Drama,"ARC Group Worldwide, Inc. - Common Stock"
220,ARDM,Horror,Aradigm Corporation - Common Stock
222,ARDS,Drama|Romance,Aridis Pharmaceuticals Inc. - Common Stock
223,ARDX,Comedy,"Ardelyx, Inc. - Common Stock"
224,AREX,Comedy|Drama|Romance,Approach Resources Inc. - Common Stock
225,ARGX,Drama|Thriller,argenx SE - American Depositary Shares
226,ARII,Thriller,"American Railcar Industries, Inc. - Common Stock"
227,ARKR,Action,Ark Restaurants Corp. - Common Stock
228,ARLP,Comedy,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
229,ARNA,Drama|Thriller,"Arena Pharmaceuticals, Inc. - Common Stock"
230,AROW,Drama|Thriller,Arrow Financial Corporation - Common Stock
231,ARPO,Comedy,"Aerpio Pharmaceuticals, Inc. - Common Stock"
232,ARQL,Comedy|Drama,"ArQule, Inc. - Common Stock"
233,ARRS,Drama,ARRIS International plc - Ordinary Shares
234,ARRY,Comedy,Array BioPharma Inc. - Common Stock
235,ARTNA,Comedy|Drama,Artesian Resources Corporation - Class A Non-Voting Common Stock
236,ARTW,Comedy|Romance,"Art's-Way Manufacturing Co., Inc. - Common Stock"
237,ARTX,Comedy|Romance,Arotech Corporation - Common Stock
238,ARWR,Adventure|Children's,"Arrowhead Pharmaceuticals, Inc. - Common Stock"
239,ASCMA,Animation|Children's|Comedy|Romance,"Ascent Capital Group, Inc. - Series A Common Stock"
240,ASET,Thriller,FlexShares Real Assets Allocation Index Fund
241,ASFI,Children's|Drama,"Asta Funding, Inc. - Common Stock"
242,ASLN,Drama|Musical,ASLAN Pharmaceuticals Limited - American Depositary Shares
243,ASMB,Comedy,"Assembly Biosciences, Inc. - Common Stock"
244,ASML,Animation|Children's,ASML Holding N.V. - ADS represents 1 ordinary share
245,ASNA,Crime|Drama,"Ascena Retail Group, Inc. - Common Stock"
246,ASND,Documentary,Ascendis Pharma A/S - American Depositary Shares
247,ASNS,Drama|Fantasy|Romance|Thriller,"Arsanis, Inc. - Common Stock"
248,ASPS,Comedy,Altisource Portfolio Solutions S.A. - Common Stock
249,ASPU,Drama|Romance,Aspen Group Inc. - Common Stock
250,ASRT,Children's|Comedy,"Assertio Therapeutics, Inc. - Common Stock"
251,ASRV,Action,AmeriServ Financial Inc. - Common Stock
252,ASRVP,Comedy|Romance,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A"
253,ASTC,Drama|Horror,Astrotech Corporation - Common Stock
254,ASTE,Drama,"Astec Industries, Inc. - Common Stock"
255,ASUR,Comedy,Asure Software Inc - Common Stock
256,ASV,Comedy|Sci-Fi,"ASV Holdings, Inc. - Common Stock"
257,ASYS,Mystery|Thriller,"Amtech Systems, Inc. - Common Stock"
258,ATAI,Adventure|Children's|Comedy|Fantasy|Romance,"ATA Inc. - American Depositary Shares, each representing two common shares"
259,ATAX,Crime|Drama|Thriller,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
260,ATEC,Action|Adventure|Fantasy|Sci-Fi,"Alphatec Holdings, Inc. - Common Stock"
261,ATHN,Drama,"athenahealth, Inc. - Common Stock"
262,ATHX,Children's|Drama,"Athersys, Inc. - Common Stock"
263,ATIS,Drama,Attis Industries Inc. - Common Stock
264,ATISW,Drama,Attis Industries Inc. - Warrants
265,ATLC,Drama|Romance,Atlanticus Holdings Corporation - Common Stock
266,ATLO,Drama|Romance|War|Western,Ames National Corporation - Common Stock
267,ATNI,Comedy,"ATN International, Inc. - Common Stock"
268,ATNX,Drama,"Athenex, Inc. - Common Stock"
269,ATOM,Drama,Atomera Incorporated - Common Stock
270,ATOS,Drama|Romance,Atossa Genetics Inc. - Common Stock
271,ATRA,Drama,"Atara Biotherapeutics, Inc. - Common Stock"
272,ATRC,Drama,"AtriCure, Inc. - Common Stock"
273,ATRI,Drama|Horror,Atrion Corporation - Common Stock
274,ATRO,Comedy,Astronics Corporation - Common Stock
275,ATRS,Comedy,"Antares Pharma, Inc. - Common Stock"
276,ATSG,Comedy|Romance,"Air Transport Services Group, Inc - Common Stock"
277,ATTU,Drama,Attunity Ltd. - Ordinary Shares
278,ATVI,Comedy,"Activision Blizzard, Inc - Common Stock"
279,ATXI,Drama,"Avenue Therapeutics, Inc. - Common Stock"
280,AUBN,Drama|Thriller,"Auburn National Bancorporation, Inc. - Common Stock"
281,AUDC,Drama,AudioCodes Ltd. - Ordinary Shares
282,AUPH,Drama,Aurinia Pharmaceuticals Inc - Common Shares
283,AUTL,Crime|Drama,Autolus Therapeutics plc - American Depositary Share
284,AUTO,Action|Crime,"AutoWeb, Inc. - Common Stock"
285,AVAV,Drama|Horror,"AeroVironment, Inc. - Common Stock"
286,AVDL,Action|Sci-Fi|Thriller,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share
287,AVEO,Comedy|Romance,"AVEO Pharmaceuticals, Inc. - Common Stock"
288,AVGO,Action|Thriller,Broadcom Inc. - Common Stock
289,AVGR,Comedy|Romance,"Avinger, Inc. - Common Stock"
290,AVHI,Crime|Drama,"A V Homes, Inc. - Common Stock"
291,AVID,Thriller,"Avid Technology, Inc. - Common Stock"
292,AVNW,Action|Drama|Thriller,"Aviat Networks, Inc. - Common Stock"
293,AVRO,Crime|Drama|Romance|Thriller,"AVROBIO, Inc. - Common Stock"
294,AVT,Comedy|Romance,"Avnet, Inc. - Common Stock"
295,AVXL,Comedy|Romance,Anavex Life Sciences Corp. - Common Stock
296,AWRE,Crime|Drama,"Aware, Inc. - Common Stock"
297,AWSM,Drama,Cool Holdings Inc. - Common Stock
298,AXAS,Comedy,Abraxas Petroleum Corporation - Common Stock
299,AXDX,Drama,"Accelerate Diagnostics, Inc. - Common Stock"
300,AXGN,Drama,"AxoGen, Inc. - Common Stock"
301,AXON,Drama|Romance,Axovant Sciences Ltd. - Common Shares
302,AXSM,Drama|Romance,"Axsome Therapeutics, Inc. - Common Stock"
303,AXTI,Action|Adventure|Western,AXT Inc - Common Stock
304,AY,Comedy|Drama,Atlantica Yield plc - Ordinary Shares
305,AYTU,Comedy,"Aytu BioScience, Inc. - Common Stock"
306,AZPN,Drama,"Aspen Technology, Inc. - Common Stock"
307,AZRX,Drama,"AzurRx BioPharma, Inc. - Common Stock"
308,BABY,Drama,Natus Medical Incorporated - Common Stock
309,BAND,Drama,Bandwidth Inc. - Class A Common Stock
310,BANF,Comedy,BancFirst Corporation - Common Stock
311,BANFP,Horror|Thriller,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities
312,BANR,Comedy,Banner Corporation - Common Stock
313,BANX,Animation|Children's,StoneCastle Financial Corp - Common Stock
314,BASI,Drama,"Bioanalytical Systems, Inc. - Common Stock"
315,BATRA,Action,Liberty Media Corporation - Series A Liberty Braves Common Stock
316,BATRK,Action|Adventure|Sci-Fi,Liberty Media Corporation - Series C Liberty Braves Common Stock
317,BBBY,Children's|Comedy|Fantasy,Bed Bath & Beyond Inc. - Common Stock
318,BBGI,Drama,"Beasley Broadcast Group, Inc. - Class A Common Stock"
319,BBH,Thriller,VanEck Vectors Biotech ETF
320,BBOX,Film-Noir|Thriller,Black Box Corporation - Common Stock
321,BBSI,Drama,"Barrett Business Services, Inc. - Common Stock"
322,BCAC,Comedy|Drama,Bison Capital Acquisition Corp. - Ordinary Shares
324,BCACR,Comedy,Bison Capital Acquisition Corp. - Rights
325,BCACU,Comedy,"Bison Capital Acquisition Corp. - Units Consisting of 1 OS, 1/2 WT and 1 RT"
326,BCACW,Drama,Bison Capital Acquisition Corp. - Warrant
327,BCBP,Action|Comedy|Musical|Sci-Fi,"BCB Bancorp, Inc. (NJ) - Common Stock"
328,BCLI,Horror,Brainstorm Cell Therapeutics Inc. - Common Stock
329,BCML,Action|Adventure|Sci-Fi,BayCom Corp - Common Stock
330,BCNA,Comedy|Horror,Reality Shares Nasdaq NexGen Economy China ETF
331,BCOM,Drama,B Communications Ltd. - Ordinary Shares
332,BCOR,Horror|Sci-Fi,"Blucora, Inc. - Common Stock"
333,BCOV,Comedy,Brightcove Inc. - Common Stock
334,BCPC,Drama,Balchem Corporation - Common Stock
335,BCRX,Mystery|Thriller,"BioCryst Pharmaceuticals, Inc. - Common Stock"
336,BCTF,Drama|War,"Bancorp 34, Inc. - Common Stock"
337,BDGE,Drama,"Bridge Bancorp, Inc. - Common Stock"
338,BDSI,Sci-Fi|Thriller,"BioDelivery Sciences International, Inc. - Common Stock"
339,BEAT,Comedy|Romance,"BioTelemetry, Inc. - Common Stock"
340,BECN,Adventure|Drama,"Beacon Roofing Supply, Inc. - Common Stock"
341,BELFA,Drama,Bel Fuse Inc. - Class A Common Stock
342,BELFB,Comedy|Romance,Bel Fuse Inc. - Class B Common Stock
343,BFIN,Children's,BankFinancial Corporation - Common Stock
344,BFIT,Comedy,Global X Health & Wellness Thematic ETF
345,BFRA,Comedy|Drama,Biofrontera AG - American Depositary Shares
346,BFST,Drama|Musical,"Business First Bancshares, Inc. - Common Stock"
347,BGCP,Drama,"BGC Partners, Inc. - Class A Common Stock"
348,BGFV,Comedy,Big 5 Sporting Goods Corporation - Common Stock
349,BGNE,Action|Adventure|Thriller,"BeiGene, Ltd. - American Depositary Shares"
350,BHAC,Drama|Mystery|Thriller,Barington/Hilco Acquisition Corp. - Common Stock
351,BHACR,Comedy|Drama|Romance,Barington/Hilco Acquisition Corp. - Right
352,BHACU,Comedy,Barington/Hilco Acquisition Corp. - Unit
353,BHACW,Action|Romance|Thriller,Barington/Hilco Acquisition Corp. - Warrants
354,BHBK,Drama,"Blue Hills Bancorp, Inc. - Common Stock"
355,BHF,Children's|Comedy,"Brighthouse Financial, Inc. - Common Stock"
356,BHTG,Comedy|Romance|War,"BioHiTech Global, Inc. - Common Stock"
357,BIB,Comedy|Romance,ProShares Ultra Nasdaq Biotechnology
358,BICK,Drama,First Trust BICK Index Fund
359,BIDU,Comedy|Drama|Romance,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share"
360,BIIB,Action|Comedy,Biogen Inc. - Common Stock
361,BILI,Drama|Romance,Bilibili Inc. - American Depositary Shares
362,BIOC,Adventure|Children's|Romance,"Biocept, Inc. - Common Stock"
363,BIOL,Documentary,"Biolase, Inc. - Common Stock"
364,BIOS,Animation|Children's|Musical,"BioScrip, Inc. - Common Stock"
365,BIS,Drama,ProShares UltraShort Nasdaq Biotechnology
366,BJRI,Horror,"BJ's Restaurants, Inc. - Common Stock"
367,BKCC,Comedy|Crime|Fantasy,BlackRock Capital Investment Corporation - Common Stock
368,BKEP,Action|Comedy|Western,"Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests"
369,BKEPP,Drama,"Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units"
370,BKNG,Comedy,Booking Holdings Inc. - Common Stock
371,BKSC,Comedy|Drama,Bank of South Carolina Corp. - Common Stock
372,BKYI,Comedy|Drama,"BIO-key International, Inc. - Common Stock"
373,BL,Thriller,"BlackLine, Inc. - Common Stock"
374,BLBD,Children's|Comedy,Blue Bird Corporation - Common Stock
375,BLCM,Drama,"Bellicum Pharmaceuticals, Inc. - Common Stock"
376,BLCN,Action|Thriller,Reality Shares Nasdaq NextGen Economy ETF
377,BLDP,Action|Romance|Thriller,"Ballard Power Systems, Inc. - Common Shares"
378,BLDR,Comedy|Romance,"Builders FirstSource, Inc. - Common Stock"
379,BLFS,Action|Sci-Fi,"BioLife Solutions, Inc. - Common Stock"
380,BLIN,Action|Adventure|Comedy|Romance,"Bridgeline Digital, Inc. - Common Stock"
381,BLKB,Drama,"Blackbaud, Inc. - Common Stock"
382,BLMN,Drama|Horror,"Bloomin' Brands, Inc. - Common Stock"
383,BLMT,Western,"BSB Bancorp, Inc. - Common Stock"
